Country or area,Subregion,Region,Internet users,Population
China,Eastern Asia,Asia,1010740000,1427647786
India,Southern Asia,Asia,833710000,1352642280
United States,Northern America,Americas,312320000,327096265
Indonesia,South-eastern Asia,Asia,196000000,267670543
Brazil,South America,Americas,160010801,209469323
Nigeria,Western Africa,Africa,136203231,195874685
Bangladesh,Southern Asia,Asia,129180000,166303498
Russia,Eastern Europe,Europe,124000000,145734038
Pakistan,Southern Asia,Asia,118800000,213756286
Japan,Eastern Asia,Asia,117400000,127202192
Mexico,Northern America,Americas,92010000,128972439
Iran,Western Asia,Asia,78086663,81800188
Germany,Western Europe,Europe,77794405,83124418
Philippines,South-eastern Asia,Asia,73003313,106651394
Turkey,Southern Europe,Europe,69945905,82340088
Vietnam,South-eastern Asia,Asia,68172134,95545962
United Kingdom,Northern Europe,Europe,65001016,67141684
France,Western Europe,Europe,59470000,64990511
Egypt,Northern Africa,Africa,54740141,98423598
South Korea,Eastern Asia,Asia,49421084,51171706
Spain,Southern Europe,Europe,42400756,46692858
Thailand,South-eastern Asia,Asia,54043108,69428453
Italy,Southern Europe,Europe,50540000,60627291
Poland,Eastern Europe,Europe,34697848,37921592
Canada,Northern America,Americas,33950632,37064562
Argentina,South America,Americas,33561876,44361150
South Africa,Southern Africa,Africa,31858027,57792518
Colombia,South America,Americas,30548252,49661048
Saudi Arabia,Western Asia,Asia,27048861,33702756
Malaysia,South-eastern Asia,Asia,25343685,31528033
Ukraine,Eastern Europe,Europe,31100000,44246156
Algeria,Northern Africa,Africa,26350000,42228408
Morocco,Northern Africa,Africa,22072765,36029093
Taiwan,Eastern Asia,Asia,21920626,23726460
Australia,Australia and New Zealand,Oceania,21159515,24898152
Venezuela,South America,Americas,20564451,28887118
Ethiopia,Eastern Africa,Africa,19543075,109224414
Iraq,Western Asia,Asia,18892351,38433600
Uzbekistan,Central Asia,Asia,16692456,32476244
Myanmar,South-eastern Asia,Asia,16374103,53708320
Netherlands,Western Europe,Europe,15877494,17059560
Peru,South America,Americas,15674241,31989260
Chile,South America,Americas,14864456,18729160
Kazakhstan,Central Asia,Asia,13913699,18319618
Romania,Eastern Europe,Europe,12545558,19506114
